"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8012","@smokesmoke test 2","chromium","2026-08-08","passed","2026-08-08","","PlaywrightLearning\tags.spec.js","",""
"","560","Data Driven Test Case - dummyUser1","chromium","2026-07-31","passed","2026-07-31","","PlaywrightLearning\datadriven.spec.js","",""
"","594","Annonumus functions","chromium","2026-08-02","passed","2026-08-02","","JavaScript\annonmus.spec.js","",""
"","612","Annonumus functions ex 2","chromium","2026-08-02","passed","2026-08-02","","JavaScript\annonmus.spec.js","",""
"","591","Find Prime Number","chromium","2026-08-02","passed","2026-08-02","","JavaScript\test.spec.js","",""
"","530","Under Test","chromium","2026-08-01","passed","2026-08-01","","JavaScript\test.spec.js","",""
"","8671","Table functionality Automation","chromium","2026-08-11","passed","2026-08-11","","PlaywrightLearning\tables.spec.js","",""
"","5895","search test for array2 Gift card","chromium","2026-07-31","passed","2026-07-31","","PlaywrightLearning\dataeriven1.spec.js","",""
"","2","Data Driven Test Case Part 2- dummyUser2","chromium","2026-07-31","failed","2026-07-31","","PlaywrightLearning\datadriven.spec.js","",""
"","657","Find missing value in an array","chromium","2026-07-30","passed","2026-07-30","","JavaScript\IQ.spec.js","",""
"","8415","@smoke - Smoke test 1","chromium","2026-08-08","passed","2026-08-08","","PlaywrightLearning\tags.spec.js","",""
"","6014","search test for array2 monitor","chromium","2026-07-31","passed","2026-07-31","","PlaywrightLearning\dataeriven1.spec.js","",""
"","8612","@smoke -- smoke test 5","chromium","2026-08-08","passed","2026-08-08","","PlaywrightLearning\tags.spec.js","",""
"","9647","Table Find name and then age of that person","chromium","2026-08-11","passed","2026-08-11","","PlaywrightLearning\tables.spec.js","",""
"","8509","smoke test 4","chromium","2026-08-08","passed","2026-08-08","","PlaywrightLearning\tags.spec.js","",""
"","0","search test for monitor","chromium","2026-07-31","skipped","2026-07-31","","PlaywrightLearning\dataeriven1.spec.js","",""
"","0","search test for laptop","chromium","2026-07-31","skipped","2026-07-31","","PlaywrightLearning\dataeriven1.spec.js","",""
"","608","Find Maximum number in an array","chromium","2026-07-30","passed","2026-07-30","","JavaScript\IQ.spec.js","",""
"","559","Find Duplicates in an array","chromium","2026-08-01","passed","2026-08-01","","JavaScript\test.spec.js","",""
"","401","Data Driven Test Case - dummyUser2","chromium","2026-07-31","passed","2026-07-31","","PlaywrightLearning\datadriven.spec.js","",""
"","633","Data Driven Test Case 1","chromium","2026-07-31","passed","2026-07-31","","PlaywrightLearning\datadriven.spec.js","",""
"","607","test under","chromium","2026-08-02","passed","2026-08-02","","JavaScript\test.spec.js","",""
"","546","Find Duplicates in an array","chromium","2026-07-30","passed","2026-07-30","","JavaScript\IQ.spec.js","",""
"","5944","search test for array2 smartphone","chromium","2026-07-31","passed","2026-07-31","","PlaywrightLearning\dataeriven1.spec.js","",""
"","1","search test for Gift card","chromium","2026-07-31","skipped","2026-07-31","","PlaywrightLearning\dataeriven1.spec.js","",""
"","14640","Multi Browser","chromium","2026-08-11","passed","2026-08-11","","PlaywrightLearning\tables.spec.js","",""
"","583","Data Driven Test Case","chromium","2026-07-31","passed","2026-07-31","","PlaywrightLearning\datadriven.spec.js","",""
"","10684","Test Case1","chromium","2026-07-30","passed","2026-07-30","","framework\testcases\AccountRegistration.spec.js","",""
"","0","search test for smartphone","chromium","2026-07-31","skipped","2026-07-31","","PlaywrightLearning\dataeriven1.spec.js","",""
"","7962","@smoke smoke test 2","chromium","2026-07-29","passed","2026-07-29","","PlaywrightLearning\tags.spec.js","",""
"","3","Data Driven Test Case Part 2- dummyUser1","chromium","2026-07-31","failed","2026-07-31","","PlaywrightLearning\datadriven.spec.js","",""
"","523","Find Duplicates in an array","chromium","2026-08-01","passed","2026-08-01","","JavaScript\DuplicateElements.spec.js","",""
"","6202","search test for array2 laptop","chromium","2026-07-31","passed","2026-07-31","","PlaywrightLearning\dataeriven1.spec.js","",""
"","8578","@sanity @smoke test 3","chromium","2026-08-08","passed","2026-08-08","","PlaywrightLearning\tags.spec.js","",""
